Parent_Nuclide,,,,Daughter_Nuclide,,,,,
ElementP,ZP,NP,AP,ElementD,ZD,ND,AD,r0,unc_r0
,86,134,220,,84,132,216,1.55548,10
,86,136,222,,84,134,218,1.54863,17
Ra,88,114,202,Rn,86,112,198,1.573,15
,88,116,204,,86,114,200,1.525,14
,88,118,206,,86,116,202,1.5287,42
,88,120,208,,86,118,204,1.5029,36
,88,122,210,,86,120,206,1.4861,29
,88,124,212,,86,122,208,1.4718,31
,88,126,214,,86,124,210,1.4557,12
,88,128,216,,86,126,212,1.5433,36
,88,130,218,,86,128,214,1.5655,13
,88,132,220,,86,130,216,1.5539,57
,88,134,222,,86,132,218,1.5492,18
,88,136,224,,86,134,220,1.542177,86
,88,138,226,,86,136,222,1.53945,26
Th,90,120,210,Ra,88,118,206,1.507,11
Th,90,122,212,Ra,88,120,208,1.5058,26
,90,124,214,,88,122,210,1.4986,56
,90,126,216,,88,124,212,1.4695,14
,90,128,218,,88,126,214,1.5487,30
,90,130,220,,88,128,216,1.6051,43
,90,132,222,,88,130,218,1.5571,17
,90,134,224,,88,132,220,1.5385,27
,90,136,226,,88,134,222,1.53749,45
,90,138,228,,88,136,224,1.53389,32
,90,140,230,,88,138,226,1.5332,11
,90,142,232,,88,140,228,1.5370,14
U,92,124,216,Th,90,122,212,1.486,33
,92,126,218,,90,124,214,1.512,14
,92,130,222,,90,128,218,1.529,15
,92,132,224,,90,130,220,1.5514,30
,92,134,226,,90,132,222,1.5394,34
,92,136,228,,90,134,224,1.5237,51
,92,138,230,,90,136,226,1.53197,29
,92,140,232,,90,138,228,1.52885,29
,92,142,234,,90,140,230,1.52224,49
,92,144,236,,90,142,232,1.52595,66
,92,146,238,,90,144,234,1.5350,17
Pu,94,134,228,U,92,132,224,1.480,42
,94,136,230,,92,134,226,1.5375,56
,94,138,232,,92,136,228,1.487,50
,94,140,234,,92,138,230,1.518,27
,94,142,236,,92,140,232,1.51022,22
,94,144,238,,92,142,234,1.50745,13
,94,146,240,,92,144,236,1.51631,11
,94,148,242,,92,146,238,1.51448,75
,94,150,244,,92,148,240,1.50549,82
Cm,96,142 238,Pu,94,140,234,1.4805,90
,96,144,240,,94,142,236,1.4947,17
,96,146,242,,94,144,238,1.501258,57
,96,148,244,,94,146,240,1.498180,88
,96,150,246,,94,148,242,1.49412,62
,96,152,248,,94,150,244,1.49627,74
Cf,98,142 240,Cm,96,140 236,1.5027,72
,98,144,242,,96,142,238,1.4986,78
,98,146,244,,96,144,240,1.498,60
,98,148,246,,96,146,242,1.49528,88
,98,150,248,,96,148,244,1.4851,24
,98,152,250,,96,150,246,1.48260,30
,98,154,252,,96,152,248,1.50113,23
,98,156,254,,96,154,250,1.517,24
Fm,100,146,246,Cf,98,144,242,1.506,12
,100,148,248,,98,146,244,1.4945,65
,100,150,250,,98,148,246,1.4789,48
,100,152,252,,98,150,248,1.46703,81
,100,154,254,,98,152,250,1.48871,75
,100,156,256,,98,154,252,1.4989,35
No,102,150,252,Fm,100,148,248,1.4787,75
,102,152,254,,100,150,250,1.4672,33
,102,154,256,,100,152,252,1.4762,19
Rf,104,152,256,No,102,150,252,1.466,26
,104,154,258,,102,152,254,1.470,18
Sg,106,154,260,Rf,104,152,256,1.4562,75
Hs,108,156,264,Sg,106,154,260,1.485,24
,108,158,266,,106,156,262,1.481,12
,108,160,268,,106,158,264,1.458,48
Hs,108,162,270,Sg,106,160,266,1.471,27
Ds,110,160,270,Hs,108,158,266,1.472,12
Fl,114,172,286,Cn,112,170,282,1.441,15
,114,174,288,,112,172,284,1.476,10
Lv,116,174,290,Fl,114,172,286,1.486,28
,116,176,292,,114 174,288,1.516,18
Og,118,176,294,Lv,116,174,290,1.461,24
